Account Name,Account ID,Producer,Branch Code,Region Code,Primary Line,Carrier,Annual Premium,Expiration Date,Loss Ratio (3yr),Policies In Force,Client Since,Last Service Touch,Account Status,Open Service Items
Sable Storage,ACT-10000,S. Okonkwo,BR-022,RGN-NE,Commercial Property,Ravenna Group,9094,2026-09-26,0.47,4,2012,2026-09-24,Active,0
Cedar Orchards,ACT-10001,D. Whitlock,BR-014,RGN-NE,General Liability,Ashfield Casualty,13440,2027-01-17,0.19,3,2008,2026-05-17,Active,0
Vantage Roofing,ACT-10002,D. Whitlock,BR-014,RGN-NE,Professional Liability,Meridian Mutual,33650,2027-02-28,0.58,5,2018,2026-05-25,Active,0
Quarry Transport,ACT-10003,D. Whitlock,BR-014,RGN-NE,Commercial Auto,Ashfield Casualty,7050,2026-09-02,0.3,2,2011,2026-09-13,Active,0
Northgate Manufacturing,ACT-10004,T. Bergeron,BR-022,RGN-NE,General Liability,Meridian Mutual,16599,2026-09-15,0.29,1,2004,2026-08-21,Active,0
Trellis Staffing,ACT-10005,S. Okonkwo,BR-022,RGN-NE,Commercial Auto,Harborline,3955,2026-12-05,0.11,6,2018,2026-08-07,Active,0
Larkspur Staffing,ACT-10006,D. Whitlock,BR-014,RGN-NE,Inland Marine,Statewide Indemnity,12993,2026-09-09,0.3,5,2003,2026-09-03,Active,0
Verity Staffing,ACT-10007,D. Whitlock,BR-014,RGN-NE,Cyber,Ashfield Casualty,8045,2026-09-06,0.41,6,2020,2026-08-19,Non-Renew Pending,0
Cedar Fabrication,ACT-10008,T. Bergeron,BR-022,RGN-NE,Workers Comp,Statewide Indemnity,13411,2026-09-03,0.08,3,2000,2026-09-16,Active,1
Pinegrove Manufacturing,ACT-10009,S. Okonkwo,BR-022,RGN-NE,Cyber,Cordell P&C,19596,2026-10-19,0.18,6,2020,2026-08-15,Active,1
Blue Harbor Orchards,ACT-10010,R. Vasquez,BR-031,RGN-MW,Cyber,Statewide Indemnity,14241,2026-11-16,0.62,2,2019,2026-08-07,Active,1
Basswood Plumbing,ACT-10011,S. Okonkwo,BR-022,RGN-NE,Commercial Auto,Cordell P&C,34499,2026-11-07,0.37,2,2016,2026-06-07,Active,0
Ironwood Dental Group,ACT-10012,T. Bergeron,BR-022,RGN-NE,Inland Marine,Statewide Indemnity,25059,2026-10-07,0.32,1,2024,2026-04-09,Active,0
Foxglove Printing,ACT-10013,T. Bergeron,BR-022,RGN-NE,Workers Comp,Meridian Mutual,3882,2026-09-05,0.24,6,2001,2026-07-04,Active,0
Trellis Dental Group,ACT-10014,M. Aranda,BR-014,RGN-NE,Cyber,Ravenna Group,6404,2026-09-01,0.94,6,2014,2026-08-20,Prospect,0
Amberline Dental Group,ACT-10015,S. Okonkwo,BR-022,RGN-NE,Cyber,Cordell P&C,5499,2026-11-01,0.18,3,2018,2026-05-04,Active,1
Vantage Auto Group,ACT-10016,M. Aranda,BR-014,RGN-NE,Professional Liability,Statewide Indemnity,27554,2027-01-28,0.13,4,1998,2026-05-26,Active,0
Ironwood Property Mgmt,ACT-10017,R. Vasquez,BR-031,RGN-MW,General Liability,Harborline,4748,2026-09-05,0.42,4,2014,2026-08-10,Active,0
Kestrel Orchards,ACT-10018,R. Vasquez,BR-031,RGN-MW,Umbrella,Ravenna Group,46107,2026-09-13,0.66,4,2004,2026-07-18,Active,0
Halyard Manufacturing,ACT-10019,R. Vasquez,BR-031,RGN-MW,Professional Liability,Statewide Indemnity,60735,2026-10-26,0.06,2,2013,2026-07-05,Active,2
Larkspur Orchards,ACT-10020,T. Bergeron,BR-022,RGN-NE,Cyber,Ashfield Casualty,5523,2026-09-09,0.23,3,2005,2026-08-16,Active,1
Vantage Orchards,ACT-10021,R. Vasquez,BR-031,RGN-MW,Commercial Auto,Ashfield Casualty,9382,2026-10-14,0.04,5,2018,2026-05-17,Active,0
Thatcher Restaurant Group,ACT-10022,M. Aranda,BR-014,RGN-NE,General Liability,Statewide Indemnity,75023,2026-10-06,0.44,4,2001,2026-07-27,Non-Renew Pending,0
Millrace Auto Group,ACT-10023,S. Okonkwo,BR-022,RGN-NE,Commercial Auto,Meridian Mutual,37342,2026-09-19,0.52,4,2001,2026-04-02,Active,0
Thatcher Fabrication,ACT-10024,M. Aranda,BR-014,RGN-NE,Professional Liability,Harborline,8853,2026-09-06,0.61,5,2009,2026-04-21,Active,1
Kestrel Electric,ACT-10025,S. Okonkwo,BR-022,RGN-NE,Professional Liability,Ravenna Group,10666,2027-01-20,0.52,5,2004,2026-08-19,Prospect,1
Foxglove Landscaping,ACT-10026,D. Whitlock,BR-014,RGN-NE,Professional Liability,Harborline,73531,2026-12-13,0.15,4,2004,2026-09-06,Active,0
Larkspur Construction,ACT-10027,D. Whitlock,BR-014,RGN-NE,Commercial Property,Meridian Mutual,10156,2026-10-06,0.33,5,2001,2026-09-08,Active,0
Ironwood Auto Group,ACT-10028,S. Okonkwo,BR-022,RGN-NE,Workers Comp,Cordell P&C,8989,2026-10-14,0.79,4,2003,2026-07-18,Active,0
Larkspur Electric,ACT-10029,T. Bergeron,BR-022,RGN-NE,Workers Comp,Cordell P&C,16269,2026-10-10,0.28,6,2010,2026-04-11,Active,0
Basswood Dental Group,ACT-10030,M. Aranda,BR-014,RGN-NE,Commercial Auto,Ravenna Group,12127,2027-02-08,0.84,6,2001,2026-04-20,Active,0
Ironwood Bakery,ACT-10031,R. Vasquez,BR-031,RGN-MW,Workers Comp,Statewide Indemnity,6695,2026-09-14,0.33,6,2002,2026-05-16,Active,2
Windrow Staffing,ACT-10032,T. Bergeron,BR-022,RGN-NE,Commercial Auto,Ravenna Group,6362,2026-11-23,0.34,6,2004,2026-09-02,Active,0
Foxglove Electric,ACT-10033,D. Whitlock,BR-014,RGN-NE,Cyber,Cordell P&C,18041,2026-10-03,0.77,4,2009,2026-05-11,Active,1
Blue Harbor Construction,ACT-10034,S. Okonkwo,BR-022,RGN-NE,Workers Comp,Ashfield Casualty,48933,2026-12-07,0.39,5,2008,2026-06-18,Active,1
Trellis Printing,ACT-10035,D. Whitlock,BR-014,RGN-NE,Commercial Property,Meridian Mutual,13603,2026-10-14,0.36,3,2004,2026-09-20,Active,0
Basswood Machine Works,ACT-10036,M. Aranda,BR-014,RGN-NE,Umbrella,Cordell P&C,4462,2026-09-04,0.25,5,2023,2026-06-15,Active,0
Windrow Medical,ACT-10037,D. Whitlock,BR-014,RGN-NE,Professional Liability,Ravenna Group,10744,2026-10-13,0.35,2,2024,2026-08-19,Active,0
Sable Machine Works,ACT-10038,D. Whitlock,BR-014,RGN-NE,General Liability,Statewide Indemnity,7281,2026-09-27,0.67,1,1998,2026-09-21,Active,1
Pinegrove Medical,ACT-10039,M. Aranda,BR-014,RGN-NE,General Liability,Ashfield Casualty,12410,2026-09-15,0.32,5,1999,2026-07-25,Active,0
Cedar Roofing,ACT-10040,D. Whitlock,BR-014,RGN-NE,Workers Comp,Statewide Indemnity,22687,2026-11-26,0.23,2,2010,2026-07-17,Active,3
Ironwood Fabrication,ACT-10041,T. Bergeron,BR-022,RGN-NE,Commercial Auto,Harborline,23936,2026-09-06,0.03,3,2004,2026-08-08,Active,0
Sable Property Mgmt,ACT-10042,T. Bergeron,BR-022,RGN-NE,Professional Liability,Statewide Indemnity,3005,2027-02-21,0.43,6,2015,2026-04-16,Active,0
Northgate Restaurant Group,ACT-10043,S. Okonkwo,BR-022,RGN-NE,Workers Comp,Cordell P&C,97048,2026-09-08,0.89,2,2022,2026-06-05,Active,1
Windrow Restaurant Group,ACT-10044,R. Vasquez,BR-031,RGN-MW,General Liability,Cordell P&C,7104,2026-09-25,0.32,6,2012,2026-04-24,Active,1
Quarry Manufacturing,ACT-10045,M. Aranda,BR-014,RGN-NE,Umbrella,Statewide Indemnity,3447,2026-09-27,0.38,3,2010,2026-04-18,Active,0
Blue Harbor Bakery,ACT-10046,D. Whitlock,BR-014,RGN-NE,Professional Liability,Ashfield Casualty,20031,2026-10-15,0.8,6,2013,2026-05-10,Active,0
Cedar Auto Group,ACT-10047,R. Vasquez,BR-031,RGN-MW,Umbrella,Harborline,3779,2027-02-24,0.3,2,2010,2026-09-04,Active,2
Halyard Dental Group,ACT-10048,D. Whitlock,BR-014,RGN-NE,Commercial Property,Harborline,35891,2026-09-13,0.06,1,2011,2026-07-25,Active,2
Pinegrove Orchards,ACT-10049,M. Aranda,BR-014,RGN-NE,Cyber,Harborline,37085,2026-12-13,0.33,6,2017,2026-08-01,Active,0
Quarry Plumbing,ACT-10050,D. Whitlock,BR-014,RGN-NE,Umbrella,Ravenna Group,16397,2026-09-10,0.85,2,2009,2026-08-17,Active,0
Northgate Orchards,ACT-10051,M. Aranda,BR-014,RGN-NE,Cyber,Meridian Mutual,16332,2026-11-25,0.11,3,2006,2026-07-04,Active,1
Amberline Printing,ACT-10052,R. Vasquez,BR-031,RGN-MW,General Liability,Meridian Mutual,15864,2027-01-06,0.65,3,2019,2026-06-08,Active,0
Kestrel Property Mgmt,ACT-10053,R. Vasquez,BR-031,RGN-MW,Professional Liability,Ravenna Group,15923,2026-09-06,0.49,5,2018,2026-04-06,Active,0
Millrace Orchards,ACT-10054,S. Okonkwo,BR-022,RGN-NE,Commercial Property,Ashfield Casualty,5786,2026-09-05,0.29,6,2023,2026-05-13,Prospect,0
Larkspur Bakery,ACT-10055,S. Okonkwo,BR-022,RGN-NE,General Liability,Ravenna Group,17314,2026-09-15,0.73,3,2014,2026-08-14,Active,0
Ironwood Machine Works,ACT-10056,R. Vasquez,BR-031,RGN-MW,Commercial Auto,Ravenna Group,26190,2026-09-19,0.75,3,2019,2026-07-08,Active,3
Trellis Storage,ACT-10057,S. Okonkwo,BR-022,RGN-NE,General Liability,Ravenna Group,16507,2026-11-14,0.67,5,2012,2026-04-10,Active,0
Basswood Property Mgmt,ACT-10058,D. Whitlock,BR-014,RGN-NE,Inland Marine,Harborline,12618,2026-10-05,0.3,2,2007,2026-09-02,Active,1
Trellis Fabrication,ACT-10059,D. Whitlock,BR-014,RGN-NE,Umbrella,Cordell P&C,18746,2027-01-02,0.35,6,2002,2026-06-23,Prospect,1
Pinegrove Dental Group,ACT-10060,M. Aranda,BR-014,RGN-NE,Umbrella,Statewide Indemnity,8246,2026-11-07,0.25,6,2014,2026-04-19,Active,3
Kestrel Medical,ACT-10061,T. Bergeron,BR-022,RGN-NE,Umbrella,Ravenna Group,2942,2026-10-03,0.34,3,2011,2026-08-03,Active,3
Northgate Medical,ACT-10062,M. Aranda,BR-014,RGN-NE,Inland Marine,Meridian Mutual,7238,2026-09-05,0.4,2,2000,2026-08-25,Active,0
