Account ID,Account Name,Producer,Annual Premium,Policies In Force,Loss Ratio (3yr)
ACT-10000,Sable Storage,S. Okonkwo,9475,4,0.56
ACT-10001,Cedar Orchards,D. Whitlock,11290,3,0.14
ACT-10002,Vantage Roofing,D. Whitlock,31873,5,0.62
ACT-10003,Quarry Transport,D. Whitlock,6233,2,0.19
ACT-10004,Northgate Manufacturing,T. Bergeron,15423,1,0.14
ACT-10005,Trellis Staffing,S. Okonkwo,4174,5,0.06
ACT-10006,Larkspur Staffing,D. Whitlock,12252,4,0.23
ACT-10007,Verity Staffing,D. Whitlock,6708,6,0.41
ACT-10008,Cedar Fabrication,T. Bergeron,13114,3,0.19
ACT-10009,Pinegrove Manufacturing,S. Okonkwo,17774,6,0.29
ACT-10010,Blue Harbor Orchards,R. Vasquez,12638,2,0.61
ACT-10011,Basswood Plumbing,S. Okonkwo,35031,2,0.41
ACT-10012,Ironwood Dental Group,T. Bergeron,24100,1,0.34
ACT-10013,Foxglove Printing,T. Bergeron,3335,6,0.22
ACT-10015,Amberline Dental Group,S. Okonkwo,5397,3,0.17
ACT-10016,Vantage Auto Group,M. Aranda,23138,3,0.0
ACT-10017,Ironwood Property Mgmt,R. Vasquez,4207,4,0.49
ACT-10018,Kestrel Orchards,R. Vasquez,41468,4,0.75
ACT-10019,Halyard Manufacturing,R. Vasquez,57705,1,0.04
ACT-10020,Larkspur Orchards,T. Bergeron,4871,3,0.24
ACT-10021,Vantage Orchards,R. Vasquez,7962,4,0.0
ACT-10022,Thatcher Restaurant Group,M. Aranda,71340,4,0.54
ACT-10023,Millrace Auto Group,S. Okonkwo,32119,4,0.36
ACT-10024,Thatcher Fabrication,M. Aranda,8143,5,0.48
ACT-10026,Foxglove Landscaping,D. Whitlock,64277,4,0.26
ACT-10027,Larkspur Construction,D. Whitlock,10289,5,0.31
ACT-10028,Ironwood Auto Group,S. Okonkwo,9502,4,0.71
ACT-10029,Larkspur Electric,T. Bergeron,17145,5,0.25
ACT-10030,Basswood Dental Group,M. Aranda,10051,6,0.8
ACT-10031,Ironwood Bakery,R. Vasquez,5805,5,0.44
ACT-10032,Windrow Staffing,T. Bergeron,5546,6,0.33
ACT-10033,Foxglove Electric,D. Whitlock,17605,4,0.67
ACT-10034,Blue Harbor Construction,S. Okonkwo,45078,5,0.34
ACT-10035,Trellis Printing,D. Whitlock,12273,2,0.42
ACT-10036,Basswood Machine Works,M. Aranda,4617,4,0.09
ACT-10037,Windrow Medical,D. Whitlock,11287,2,0.33
ACT-10038,Sable Machine Works,D. Whitlock,6713,1,0.72
ACT-10039,Pinegrove Medical,M. Aranda,11835,5,0.39
ACT-10040,Cedar Roofing,D. Whitlock,19193,2,0.15
ACT-10041,Ironwood Fabrication,T. Bergeron,22840,2,0.0
ACT-10042,Sable Property Mgmt,T. Bergeron,3150,6,0.35
ACT-10043,Northgate Restaurant Group,S. Okonkwo,95616,2,0.78
ACT-10044,Windrow Restaurant Group,R. Vasquez,6781,5,0.38
ACT-10045,Quarry Manufacturing,M. Aranda,3644,3,0.2
ACT-10046,Blue Harbor Bakery,D. Whitlock,18238,6,0.84
ACT-10047,Cedar Auto Group,R. Vasquez,3463,2,0.17
ACT-10048,Halyard Dental Group,D. Whitlock,33301,1,0.17
ACT-10049,Pinegrove Orchards,M. Aranda,34147,6,0.29
ACT-10050,Quarry Plumbing,D. Whitlock,16156,2,0.83
ACT-10051,Northgate Orchards,M. Aranda,14559,3,0.0
ACT-10052,Amberline Printing,R. Vasquez,13245,2,0.58
ACT-10053,Kestrel Property Mgmt,R. Vasquez,13125,4,0.49
ACT-10055,Larkspur Bakery,S. Okonkwo,15409,3,0.67
ACT-10056,Ironwood Machine Works,R. Vasquez,26534,3,0.86
ACT-10057,Trellis Storage,S. Okonkwo,14887,4,0.5
ACT-10058,Basswood Property Mgmt,D. Whitlock,13032,1,0.35
ACT-10060,Pinegrove Dental Group,M. Aranda,8509,6,0.28
ACT-10061,Kestrel Medical,T. Bergeron,2683,3,0.46
ACT-10062,Northgate Medical,M. Aranda,6189,2,0.25
ACT-10063,Larkspur Logistics,R. Vasquez,2367,4,0.43
ACT-10064,Amberline Landscaping,S. Okonkwo,22962,2,0.14
ACT-10065,Sable Landscaping,D. Whitlock,16230,4,0.39
ACT-10066,Amberline Property Mgmt,S. Okonkwo,80720,3,0.05
ACT-10067,Ironwood Manufacturing,M. Aranda,11344,5,0.08
ACT-10068,Trellis Machine Works,T. Bergeron,8650,4,0.21
ACT-10069,Pinegrove Bakery,M. Aranda,4994,6,0.15
ACT-10071,Sable Dental Group,S. Okonkwo,4075,2,0.1
ACT-10072,Windrow Storage,T. Bergeron,7638,1,0.82
ACT-10073,Thatcher Manufacturing,T. Bergeron,16175,3,0.35
ACT-10074,Halyard Transport,T. Bergeron,13073,3,0.24
ACT-10075,Cobblestone Machine Works,D. Whitlock,8700,3,0.47
ACT-10076,Larkspur Roofing,R. Vasquez,1731,4,0.34
ACT-10077,Windrow Landscaping,T. Bergeron,13166,4,0.24
ACT-10078,Cobblestone Dental Group,R. Vasquez,50517,2,0.58
ACT-10079,Pinegrove Machine Works,T. Bergeron,32235,1,0.13
ACT-10080,Kestrel Staffing,S. Okonkwo,7311,1,0.3
ACT-10081,Millrace Staffing,T. Bergeron,23116,6,0.25
ACT-10082,Millrace Logistics,M. Aranda,21893,4,0.16
ACT-10083,Quarry Medical,S. Okonkwo,24953,2,0.23
ACT-10084,Vantage Restaurant Group,T. Bergeron,33600,3,0.67
ACT-10085,Quarry Dental Group,D. Whitlock,4997,4,0.0
ACT-10087,Amberline Fabrication,S. Okonkwo,7070,3,0.38
ACT-10088,Sable Bakery,T. Bergeron,10166,3,0.06
ACT-10089,Ironwood Roofing,D. Whitlock,8384,3,0.2
ACT-10090,Foxglove Dental Group,S. Okonkwo,37191,4,0.24
ACT-10091,Windrow Printing,D. Whitlock,29127,6,0.3
ACT-10092,Basswood Restaurant Group,R. Vasquez,22679,2,0.45
ACT-10093,Blue Harbor Property Mgmt,D. Whitlock,20242,1,0.66
ACT-10094,Blue Harbor Restaurant Group,T. Bergeron,6930,4,0.3
ACT-10095,Cobblestone Transport,M. Aranda,4843,1,0.54
ACT-10096,Foxglove Bakery,R. Vasquez,18712,1,0.7
ACT-10097,Pinegrove Landscaping,S. Okonkwo,7461,6,0.44
