Account ID,Account Name,Producer,Branch Code,Carrier,Primary Line,Expiration Date,Renewal meeting 60d,Loss runs ordered,Coverage checklist,Certificate backlog clear,Exposure re-verified,Written proposal,Flood determination,Carrier appetite confirmed
ACT-10000,Sable Storage,S. Okonkwo,BR-022,Ravenna Group,Commercial Property,2026-09-26,Yes,Yes,Yes,Yes,Yes,,Yes,No
ACT-10001,Cedar Orchards,D. Whitlock,BR-014,Ashfield Casualty,General Liability,2027-01-17,,Yes,No,Yes,Yes,No,Yes,Yes
ACT-10002,Vantage Roofing,D. Whitlock,BR-014,Meridian Mutual,Professional Liability,2027-02-28,Yes,,Yes,Yes,No,Yes,Yes,No
ACT-10003,Quarry Transport,D. Whitlock,BR-014,Ashfield Casualty,Commercial Auto,2026-09-02,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ACT-10004,Northgate Manufacturing,T. Bergeron,BR-022,Meridian Mutual,General Liability,2026-09-15,No,Yes,Yes,Yes,Yes,Yes,,No
ACT-10005,Trellis Staffing,S. Okonkwo,BR-022,Harborline,Commercial Auto,2026-12-05,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
ACT-10006,Larkspur Staffing,D. Whitlock,BR-014,Statewide Indemnity,Inland Marine,2026-09-09,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
ACT-10008,Cedar Fabrication,T. Bergeron,BR-022,Statewide Indemnity,Workers Comp,2026-09-03,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
ACT-10009,Pinegrove Manufacturing,S. Okonkwo,BR-022,Cordell P&C,Cyber,2026-10-19,Yes,Yes,Yes,No,Yes,Yes,Yes,No
ACT-10010,Blue Harbor Orchards,R. Vasquez,BR-031,Statewide Indemnity,Cyber,2026-11-16,Yes,No,,No,Yes,Yes,No,No
ACT-10011,Basswood Plumbing,S. Okonkwo,BR-022,Cordell P&C,Commercial Auto,2026-11-07,Yes,No,Yes,Yes,Yes,Yes,Yes,No
ACT-10012,Ironwood Dental Group,T. Bergeron,BR-022,Statewide Indemnity,Inland Marine,2026-10-07,No,Yes,No,Yes,,Yes,Yes,Yes
ACT-10013,Foxglove Printing,T. Bergeron,BR-022,Meridian Mutual,Workers Comp,2026-09-05,Yes,Yes,No,Yes,Yes,No,Yes,Yes
ACT-10015,Amberline Dental Group,S. Okonkwo,BR-022,Cordell P&C,Cyber,2026-11-01,,Yes,Yes,No,No,No,,No
ACT-10016,Vantage Auto Group,M. Aranda,BR-014,Statewide Indemnity,Professional Liability,2027-01-28,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ACT-10017,Ironwood Property Mgmt,R. Vasquez,BR-031,Harborline,General Liability,2026-09-05,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
ACT-10018,Kestrel Orchards,R. Vasquez,BR-031,Ravenna Group,Umbrella,2026-09-13,Yes,Yes,,Yes,No,Yes,Yes,No
ACT-10019,Halyard Manufacturing,R. Vasquez,BR-031,Statewide Indemnity,Professional Liability,2026-10-26,Yes,No,Yes,No,Yes,Yes,Yes,Yes
ACT-10020,Larkspur Orchards,T. Bergeron,BR-022,Ashfield Casualty,Cyber,2026-09-09,No,Yes,No,No,No,Yes,Yes,Yes
ACT-10021,Vantage Orchards,R. Vasquez,BR-031,Ashfield Casualty,Commercial Auto,2026-10-14,No,No,No,Yes,No,Yes,Yes,Yes
ACT-10023,Millrace Auto Group,S. Okonkwo,BR-022,Meridian Mutual,Commercial Auto,2026-09-19,Yes,Yes,Yes,Yes,Yes,No,,Yes
ACT-10024,Thatcher Fabrication,M. Aranda,BR-014,Harborline,Professional Liability,2026-09-06,Yes,Yes,Yes,No,Yes,,Yes,No
ACT-10026,Foxglove Landscaping,D. Whitlock,BR-014,Harborline,Professional Liability,2026-12-13,Yes,Yes,Yes,Yes,No,Yes,,No
ACT-10027,Larkspur Construction,D. Whitlock,BR-014,Meridian Mutual,Commercial Property,2026-10-06,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
ACT-10028,Ironwood Auto Group,S. Okonkwo,BR-022,Cordell P&C,Workers Comp,2026-10-14,Yes,Yes,Yes,Yes,Yes,Yes,,No
ACT-10029,Larkspur Electric,T. Bergeron,BR-022,Cordell P&C,Workers Comp,2026-10-10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
ACT-10030,Basswood Dental Group,M. Aranda,BR-014,Ravenna Group,Commercial Auto,2027-02-08,Yes,No,Yes,Yes,Yes,No,No,No
ACT-10031,Ironwood Bakery,R. Vasquez,BR-031,Statewide Indemnity,Workers Comp,2026-09-14,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
ACT-10032,Windrow Staffing,T. Bergeron,BR-022,Ravenna Group,Commercial Auto,2026-11-23,Yes,Yes,No,Yes,Yes,,Yes,No
ACT-10033,Foxglove Electric,D. Whitlock,BR-014,Cordell P&C,Cyber,2026-10-03,Yes,Yes,Yes,No,Yes,Yes,Yes,No
ACT-10034,Blue Harbor Construction,S. Okonkwo,BR-022,Ashfield Casualty,Workers Comp,2026-12-07,Yes,No,,No,Yes,Yes,Yes,No
ACT-10035,Trellis Printing,D. Whitlock,BR-014,Meridian Mutual,Commercial Property,2026-10-14,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
